designator,quantity,value,pack,mpn,mount_type
D1,1,D,D_DO-15_P10.16mm_Horizontal,,tht
"J1, J2, J3, J4, J5",5,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,,tht
R1,1,2.74K,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,,tht
R2,1,1.3K,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,,tht
R3,1,270,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,,tht
"R4, R5",2,330,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,,tht
R6,1,2.7K,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,,tht
R7,1,150,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,,tht
"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8",8,SW_SPDT,PinHeader_1x03_P2.54mm_Vertical,,tht
