"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C24,C16,C10,C3,C6,C23,C19,C9,C22,C1,C11,C17,C26,C21,C20,C25,C4,C5,C8,C13,C7,C14,C15,C18,C2";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";25;"100nF";;;
2;"R14,R4,R18,R10,R1,R15,R2,R6,R23,R3,R8,R20,R21,R22,R19,R5,R16,R9,R12,R13,R24,R25,R17,R7";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";24;"100ohm";;;
3;"D26,D16,D38,D28,D10,D50,D18,D2,D14,D48,D34,D6,D4,D12,D36,D44,D46,D24,D40,D42,D8,D30,D32,D20";"Nexperia_DSN1608-2_1.6x0.8mm";24;"PTVS12VZ1USK";;;
4;"Q20,Q13,Q2,Q24,Q25,Q5,Q22,Q6,Q7,Q1,Q4,Q16,Q9,Q15,Q3,Q23,Q18,Q19,Q17,Q21,Q10,Q8,Q12,Q14";"SOT-23";24;"IRLML6244";;;
5;"D29,D19,D9,D3,D23,D1,D35,D37,D13,D17,D11,D45,D39,D31,D5,D49,D41,D27,D33,D7,D43,D15,D25,D47";"D_SMC";24;"B340";;;
6;"J23";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"sequencePin5";;;
7;"J2";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"sensPin2";;;
8;"J15";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"timerPin1";;;
9;"J22";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"sequencePin4";;;
10;"J3";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"sensPin3";;;
11;"J8";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"togglePin4";;;
12;"J4";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"sensPin4";;;
13;"J14";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"dimPin4";;;
14;"J19";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"sequencePin1";;;
15;"U2";"Converter_DCDC_Murata_OKI-78SR_Horizontal";1;"OKI-78SR-3.3_1.5-W36H-C";;;
16;"J9";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"togglePin5";;;
17;"J12";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"dimPin2";;;
18;"J1";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"sensPin1";;;
19;"J6";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"togglePin2";;;
20;"J7";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"togglePin3";;;
21;"J20";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"sequencePin2";;;
22;"J17";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"timerPin3";;;
23;"J24";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"sequencePin6";;;
24;"J11";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"dimPin1";;;
25;"U1";"ESP32-WROOM-32D";1;"ESP32-WROOM-32D";;;
26;"J5";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"togglePin1";;;
27;"J16";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"timerPin2";;;
28;"J18";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"timerPin4";;;
29;"J13";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"dimPin3";;;
30;"J10";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"togglePin6";;;
31;"J21";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"sequencePin3";;;
32;"J25";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"5VDC";;;
